ID,Artist,Streams
1,Pop Smoke,891198552
2,Juice WRLD,816549126
3,J Balvin,788607204
4,Ariana Grande,765913948
5,Drake,755959065
6,Maluma,671538640
7,DaBaby,662514589
8,Justin Bieber,625137616
9,Myke Towers,607669579
10,BLACKPINK,581547373
11,The Weeknd,548856595
12,24kGoldn,518543543
13,Bad Bunny,514219801
14,Dua Lipa,506551285
15,Ozuna,490703743
16,Harry Styles,481883530
17,Cardi B,481058729
18,Camilo,457057313
19,Travis Scott,453172323
20,iann dior,451396442
21,Roddy Ricch,433896703
22,Jason Derulo,408437956
23,BTS,398168722
24,Billie Eilish,395820404
25,Megan Thee Stallion,394960640
26,Don Toliver,376097809
27,KAROL G,357340341
28,Gunna,352004172
29,Internet Money,351463137
30,Post Malone,347817977
31,Marshmello,337117670
32,Lewis Capaldi,328271468
33,NAV,311627990
34,Sech,307135016
35,Rauw Alejandro,305729959
36,Lil Baby,304080343
37,Farruko,298449354
38,Anuel AA,296104527
39,Tainy,273701800
40,Jawsh 685,264116926
41,DJ Khaled,253910407
42,Justin Quiles,248110045
43,21 Savage,243662519
44,Daddy Yankee,237611853
45,Young Thug,224995359
46,Lil Durk,223237407
47,ROSALÍA,222669600
48,Joel Corry,218894912
49,MNEK,218894912
50,Ed Sheeran,217447233
51,Khalid,216256327
52,Lady Gaga,212225282
53,Tate McRae,204050824
54,Conan Gray,203330587
55,Shawn Mendes,201614005
56,Chance the Rapper,194733468
57,Halsey,192386933
58,Selena Gomez,183739843
59,Miley Cyrus,180557219
60,Metro Boomin,180347498
61,Jack Harlow,180328591
62,SAINt JHN,176852129
63,Imanbek,176852129
64,Jhayco,174780124
65,blackbear,174284549
66,Swae Lee,169556151
67,Topic,168115509
68,A7S,168115509
69,Jay Wheeler,164239517
70,DJ Nelson,164239517
71,Lil Tjay,156438937
72,Tones And I,150791639
73,XXXTENTACION,148689903
74,Doja Cat,145882541
75,Chris Brown,144989987
76,Lenny Tavárez,141825917
77,Guaynaa,138774361
78,Nio Garcia,136586062
79,Brray,136586062
80,Juanka,136586062
81,mgk,134740898
82,Manuel Turizo,129905745
83,Ritt Momney,129122909
84,Powfu,129080868
85,beabadoobee,129080868
86,Clairo,125080871
87,Polo G,121080218
88,Tory Lanez,114261120
89,Lil Wayne,114261120
90,Lil Mosey,113986352
91,Maroon 5,113411629
92,James Arthur,112446092
93,Jerry Di,110562944
94,Ava Max,110362267
95,Chencho Corleone,109831365
96,benny blanco,109447172
97,The Neighbourhood,109100122
98,The Academy: Segunda Misión,105383903
99,Lele Pons,103828839
100,The Kid LAROI,103212273
101,Regard,101015731
102,Surf Mesa,99449403
103,Emilee,99449403
104,50 Cent,97974312
105,Camila Cabello,96441531
106,Future,96231673
107,Aya Nakamura,94663695
108,Fleetwood Mac,92406916
109,Trevor Daniel,90792914
110,Joji,90416172
111,salem ilese,89934400
112,Nicki Minaj,88050388
113,Quavo,87230363
114,StaySolidRocky,85140965
115,Labrinth,85073313
116,Sam Smith,84719226
117,BØRNS,84702762
118,Bradley Cooper,84650175
119,JP Saxe,80440271
120,Julia Michaels,80440271
121,Super Yei,79911534
122,Sammy,79911534
123,Jone Quest,79911534
124,Towy,79911534
125,Osquel,79911534
126,Beltito,79911534
127,Sammy & Falsetto,79911534
128,KHEA,79397284
129,Lenny Santos,79397284
130,Imagine Dragons,77742817
131,Ashnikko,77197273
132,Arizona Zervas,76585697
133,Black Eyed Peas,76252859
134,Kane Brown,75116375
135,Taylor Swift,72837348
136,Master KG,69290868
137,Nomcebo Zikode,69290868
138,Clean Bandit,67147101
139,Mabel,67147101
140,Ed Sheeran & Justin Bieber,67125377
141,J. Rey Soul,66882453
142,BANNERS,66656883
143,Trueno,66652749
144,Nicki Nicole,66652749
145,Bizarrap,66652749
146,Taiu,66652749
147,TATOOL,66652749
148,MEDUZA,64994070
149,Eminem,64664456
150,Queen,63915922
151,Anitta,63903472
152,John Legend,63433330
153,Vedo,63164430
154,Dalex,63043705
155,Wallows,62793735
156,Dean Lewis,62438288
157,Wisin,61298523
158,Los Legendarios,61298523
159,Jowell & Randy,61284155
160,Surfaces,61100185
161,Kendo Kaponi,60061228
162,A Boogie Wit da Hoodie,59648416
163,Ty Dolla $ign,58872562
164,Big Sean,56903716
165,Ñengo Flow,56708752
166,M.I.A.,55182857
167,Kygo,53629691
168,Ofenbach,52911518
169,Quarterhead,52911518
170,Norma Jean Martine,52911518
171,THE SCOTTS,52816740
172,Kid Cudi,52816740
173,Kina,52704880
174,Snøw,52704880
175,Curtis Waters,50658094
176,Harm Franklin,50658094
177,Kofs,48695917
178,Soso Maness,48695917
179,Elams,48695917
180,Jul,48695917
181,SCH,48695917
182,Naps,48695917
183,Solda,48695917
184,Houari,48695917
185,13 Organisé,48695917
186,Bastille,48614682
187,Melanie Martinez,48535110
188,Jonas Esticado,48412560
189,Lil Peep,48242537
190,BENEE,45253832
191,Becky Hill,44725191
192,Goodboys,44725191
193,Dímelo Flow,43751946
194,Demi Lovato,42936826
195,Tame Impala,42902959
196,Coldplay,42438104
197,Money Man,42388027
198,Calvin Harris,41521444
199,Pablo Alborán,40902217
200,Fousheé,40796246
201,Gus Dapperton,40276427
202,Bea Miller,40233019
203,Feid,40150730
204,Nicky Jam,40150730
205,OneRepublic,39727671
206,Dan + Shay,38670643
207,Niack,38381569
208,Two Maloka,38381569
209,DJ Léo da 17,38381569
210,The Chainsmokers,37535182
211,Passenger,37520094
212,Diplo,35877655
213,Sebastian Yatra,34945522
214,K/DA,33835104
215,(G)I-DLE,33835104
216,League of Legends,33835104
217,Hozier,33538535
218,Saweetie,33434856
219,Os Barões Da Pisadinha,32771988
220,Luke Combs,31333153
221,TWICE,30167491
222,WhoHeem,29765969
223,Trippie Redd,29057817
224,Bonez MC,28121785
225,CJ,27325694
226,Harry Nach,26761386
227,RAYE,25206169
228,Kendrick Lamar,25109310
229,Jay Rock,25109310
230,Angèle,23495337
231,Mariah Carey,22849905
232,Noah Cyrus,22769149
233,Octavian,22703419
234,Skepta,22703419
235,Lil Uzi Vert,22689008
236,Bon Iver,22492655
237,MAX,21839243
238,SUGA,21839243
239,Madison Beer,21686563
240,Lexie Liu,21686563
241,Jaira Burns,21686563
242,Seraphine,21686563
243,6ix9ine,21323098
244,ZAYN,21252303
245,Nelly Furtado,20670614
246,Timbaland,20670614
247,Giveon,20649003
248,C. Tangana,20423127
249,Niño de Elche,20423127
250,La Húngara,20423127
251,CORPSE,20410285
252,Savage Ga$p,20410285
253,Dermot Kennedy,20268879
254,DDG,19814162
255,Blueface,19814162
256,Cali Y El Dandee,19787966
257,Danna Paola,19787966
258,Tiësto,18889146
259,Little Mix,17334054
260,Nea,15706641
261,Felix Jaehn,15706641
262,Pink Sweat$,15246455
263,Beyoncé,14911568
264,Alex Rose,14476185
265,Rafa Pabön,14476185
266,42 Dugg,14240770
267,Ali Gatie,13993301
268,Headie One,13907632
269,AJ Tracey,13907632
270,Stormzy,13907632
271,Wham!,13645520
272,SZA,12812403
273,The Neptunes,12812403
