Edge_Artist_1,Edge_Artist_2,Streams,Path,Path Length
Bad Bunny,J Balvin,3864842196,Bad Bunny → Chencho Corleone → J Balvin,2
Post Malone,Swae Lee,3175741123,Post Malone → The Weeknd → Swae Lee,2
The Kid LAROI,Justin Bieber,2895391893,The Kid LAROI → Juice WRLD → Justin Bieber,2
Bad Bunny,Jhayco,2693082878,Bad Bunny → Feid → Jhayco,2
Billie Eilish,Khalid,2613586537,Billie Eilish → Justin Bieber → Khalid,2
The Weeknd,Daft Punk,2409981516,The Weeknd → 21 Savage → Pharrell Williams → Daft Punk,3
Drake,21 Savage,2243423270,Drake → Offset → 21 Savage,2
Camila Cabello,Shawn Mendes,2085233216,Camila Cabello → Tainy → Shawn Mendes,2
Post Malone,21 Savage,2075830835,Post Malone → Justin Bieber → 21 Savage,2
Bad Bunny,Tainy,2043841708,Bad Bunny → Ozuna → Tainy,2
21 Savage,Metro Boomin,1904875945,21 Savage → Drake → Metro Boomin,2
Daddy Yankee,Luis Fonsi,1896178391,Daddy Yankee → Ozuna → Luis Fonsi,2
The Weeknd,Ariana Grande,1844222742,The Weeknd → Lana Del Rey → Ariana Grande,2
Elton John,Dua Lipa,1812941638,Elton John → PNAU → Dua Lipa,2
Elton John,PNAU,1812941638,Elton John → Dua Lipa → PNAU,2
Dua Lipa,PNAU,1812941638,Dua Lipa → Elton John → PNAU,2
Lady Gaga,Bradley Cooper,1748254196,,-1
David Guetta,Bebe Rexha,1679268100,David Guetta → Charli XCX → Bebe Rexha,2
Justin Bieber,Quavo,1670824248,Justin Bieber → Post Malone → Quavo,2
Ozuna,Anuel AA,1653530214,Ozuna → Bad Bunny → Anuel AA,2
Dalex,Lenny Tavárez,1649197839,Dalex → Chencho Corleone → Lenny Tavárez,2
Lil Nas X,Jack Harlow,1632867564,Lil Nas X → DaBaby → Jack Harlow,2
Bad Bunny,Chencho Corleone,1595512799,Bad Bunny → Rauw Alejandro → Chencho Corleone,2
Dua Lipa,DaBaby,1581435193,Dua Lipa → Pop Smoke → DaBaby,2
Ozuna,J Balvin,1549802682,Ozuna → Bad Bunny → J Balvin,2
Drake,Future,1513820629,Drake → 21 Savage → Future,2
Coldplay,The Chainsmokers,1482038011,Coldplay → Selena Gomez → Kygo → The Chainsmokers,3
Bizarrap,Quevedo,1466812232,Bizarrap → Duki → Quevedo,2
Justin Bieber,Chance the Rapper,1431863979,Justin Bieber → Juice WRLD → Chance the Rapper,2
24kGoldn,iann dior,1422926478,24kGoldn → Justin Bieber → iann dior,2
SAINt JHN,Imanbek,1401362181,,-1
Anuel AA,Daddy Yankee,1354928619,Anuel AA → Bad Bunny → Daddy Yankee,2
Doja Cat,SZA,1342273188,Doja Cat → Post Malone → SZA,2
Sam Smith,Kim Petras,1326886078,Sam Smith → Calvin Harris → Ellie Goulding → Kygo → Kim Petras,4
Marshmello,Bastille,1317354189,,-1
Dua Lipa,Calvin Harris,1315568076,Dua Lipa → Young Thug → Calvin Harris,2
Camila Cabello,Young Thug,1305095150,Camila Cabello → Ed Sheeran → Young Thug,2
KAROL G,Anuel AA,1291823679,KAROL G → Quevedo → Anuel AA,2
Tyler,The Creator,1289290132,Tyler → 21 Savage → The Creator,2
Lenny Tavárez,Justin Quiles,1270808271,Lenny Tavárez → Feid → Justin Quiles,2
Rema,Selena Gomez,1269014452,,-1
Peso Pluma,Junior H,1268709294,Peso Pluma → Gabito Ballesteros → Junior H,2
Ozuna,Nicky Jam,1263737754,Ozuna → Bad Bunny → Nicky Jam,2
Jung Kook,Latto,1252362934,,-1
Justin Bieber,Ed Sheeran & Justin Bieber,1240208815,,-1
DaBaby,Roddy Ricch,1225578584,DaBaby → Post Malone → Roddy Ricch,2
Drake,Wizkid,1221196182,Drake → Tems → Wizkid,2
Drake,Kyla,1221196182,Drake → Wizkid → Kyla,2
Wizkid,Kyla,1221196182,Wizkid → Drake → Kyla,2
Justin Bieber,Daniel Caesar,1213245560,Justin Bieber → Giveon → Daniel Caesar,2
Justin Bieber,Giveon,1213245560,Justin Bieber → Daniel Caesar → Giveon,2
Daniel Caesar,Giveon,1213245560,Daniel Caesar → Justin Bieber → Giveon,2
21 Savage,The Weeknd,1213151061,21 Savage → Post Malone → The Weeknd,2
The Weeknd,Metro Boomin,1213151061,The Weeknd → 21 Savage → Metro Boomin,2
DJ Luian,Mambo Kingz,1210743479,DJ Luian → Quevedo → Mambo Kingz,2
Young Thug,Travis Scott,1191009417,Young Thug → Post Malone → Travis Scott,2
Bad Bunny,Bomba Estéreo,1182016397,Bad Bunny → Tainy → Bomba Estéreo,2
J Balvin,Daddy Yankee,1161867654,J Balvin → David Guetta → Daddy Yankee,2
Bad Bunny,Daddy Yankee,1161412158,Bad Bunny → Ozuna → Daddy Yankee,2
The Chainsmokers,Halsey,1116016092,The Chainsmokers → Coldplay → BTS → Halsey,3
Imagine Dragons,Arcane,1114720747,Imagine Dragons → JID → Arcane,2
Imagine Dragons,League of Legends,1114720747,Imagine Dragons → JID → League of Legends,2
Arcane,League of Legends,1114720747,Arcane → Imagine Dragons → League of Legends,2
Darell,Nicky Jam,1108575891,Darell → Bad Bunny → Nicky Jam,2
Ozuna,Daddy Yankee,1098633983,Ozuna → Bad Bunny → Daddy Yankee,2
Justin Bieber,Luis Fonsi,1093852879,Justin Bieber → Daddy Yankee → Luis Fonsi,2
Justin Bieber,Daddy Yankee,1093852879,Justin Bieber → David Guetta → Daddy Yankee,2
Topic,A7S,1089717737,Topic → ATB → A7S,2
Imagine Dragons,JID,1087592190,Imagine Dragons → Arcane → JID,2
JID,Arcane,1087592190,JID → Imagine Dragons → Arcane,2
JID,League of Legends,1087592190,JID → Imagine Dragons → League of Legends,2
