Artist1,Artist2,Distance,Streams
Camila Cabello,Young Thug,inf,4917152
Bad Bunny,Drake,inf,9303393
Billie Eilish,Khalid,inf,8250091
Bebe Rexha,The Chainsmokers,inf,5780255
Ed Sheeran,Khalid,inf,23068726
Cardi B,Lil Nas X,inf,4743539
J Balvin,Maria Becerra,inf,18755328
Drake,Migos,inf,10690817
Doja Cat,Young Thug,inf,5393789
DaBaby,Dua Lipa,inf,13542438
Doja Cat,The Weeknd,inf,6137921
Ariana Grande,Doja Cat,2,5829561
Drake,Lil Baby,inf,10132837
Anuel AA,Rauw Alejandro,inf,11689231
Cardi B,Megan Thee Stallion,2,14660296
Mau y Ricky,Sebastian Yatra,inf,6720194
Anne-Marie,Marshmello,inf,4788521
6ix9ine,Anuel AA,inf,11180275
Anuel AA,Daddy Yankee,inf,5935612
Mark Ronson,Miley Cyrus,inf,5448319
Metro Boomin,Offset,inf,10778895
Reik,Sebastian Yatra,inf,8406268
Khalid,Normani,inf,18005810
Future,Juice WRLD,inf,8070582
Julia Michaels,Selena Gomez,inf,4609218
Trippie Redd,XXXTENTACION,inf,4733401
BTS,Coldplay,3,10708641
Post Malone,The Weeknd,3,6892072
Anuel AA,Jhayco,inf,5861377
KAROL G,Tiësto,inf,5631204
Dua Lipa,Sean Paul,inf,3424555
ROSALÍA,The Weeknd,10,6169645
Juice WRLD,Justin Bieber,6,12914041
Drake,Ty Dolla $ign,5,13919809
J Balvin,Skrillex,inf,12933235
Becky G,Maria Becerra,inf,6105892
Cardi B,Lizzo,inf,8664176
BTS,Megan Thee Stallion,15,13960331
Drake,Travis Scott,5,8787544
Drake,Yebba,3,15567041
Jhayco,Sech,inf,10170485
Shawn Mendes,Tainy,7,10086800
Drake,Future,2,6731252
Marshmello,Selena Gomez,inf,12650514
Ozuna,Romeo Santos,inf,4825027
Marshmello,Roddy Ricch,10,4870852
Maroon 5,SZA,5,8356378
David Guetta,Sia,inf,12126911
Paulo Londra,Piso 21,inf,5603649
Khalid,Marshmello,8,9329269
Clean Bandit,Julia Michaels,inf,9485102
French Montana,Jason Derulo,inf,6548236
Logic,Marshmello,inf,11350020
Daddy Yankee,Luis Fonsi,4,3806380
Ed Sheeran,Eminem,4,14776173
21 Savage,Cardi B,5,5709627
Demi Lovato,Luis Fonsi,7,14313006
French Montana,Swae Lee,4,6311753
Kygo,Miguel,inf,5935526
Kendrick Lamar,The Weeknd,3,4342298
Manuel Turizo,Piso 21,10,10936212
J Balvin,Nicky Jam,6,12073809
J Balvin,Ozuna,2,5667031
Bad Bunny,Becky G,3,5206037
NATTI NATASHA,Ozuna,4,9732621
Liam Payne,Quavo,8,4581018
J Balvin,Tainy,2,5358940
Ariana Grande,Lady Gaga,inf,6997316
Gunna,Young Thug,5,5925621
Eminem,Juice WRLD,4,5816290
BLACKPINK,Selena Gomez,5,5864831
Calvin Harris,The Weeknd,6,7703716
Anuel AA,Bad Bunny,2,6693850
Juice WRLD,Marshmello,3,7689165
Juice WRLD,The Weeknd,5,5164187
Justin Bieber,Quavo,4,6082301
Maluma,Myke Towers,3,5773045
Drake,Lil Durk,inf,9365807
KAROL G,Nicki Minaj,inf,7892130
Camilo,Ozuna,8,7482198
Juice WRLD,The Kid LAROI,2,10659796
Ariana Grande,Justin Bieber,3,7223523
Demi Lovato,Marshmello,4,8772844
ROSALÍA,Travis Scott,3,6797497
Camilo,Rauw Alejandro,4,7632050
Lil Tjay,Pop Smoke,inf,7046887
Chris Brown,Young Thug,4,5702675
Halsey,Marshmello,5,5093756
Maluma,Piso 21,6,3389017
Little Mix,mgk,inf,3509205
Future,Maroon 5,5,15884274
Kendrick Lamar,Maroon 5,2,18064374
Kygo,Selena Gomez,6,3841356
