ID,Artists,Streams
1,"Dua Lipa, Elton John, PNAU",1812941638
2,"Drake, Kyla, Wizkid",1221196182
3,"Daniel Caesar, Giveon, Justin Bieber",1213245560
4,"21 Savage, Metro Boomin, The Weeknd",1213151061
5,"Daddy Yankee, Justin Bieber, Luis Fonsi",1093852879
6,"Anderson .Paak, Bruno Mars, Silk Sonic",1064923998
7,"Halsey, Khalid, benny blanco",979529313
8,"Bad Bunny, Cardi B, J Balvin",908062879
9,"Grey, Maren Morris, Zedd",741276314
10,"DaBaby, Lil Baby, Pop Smoke",672674643
11,"Kali Uchis, The Creator, Tyler",666398988
12,"BTS, Charlie Puth, Jung Kook",652871153
13,"Alessia Cara, Khalid, Logic",629880837
14,"Madonna, Playboi Carti, The Weeknd",619352501
15,"Gabito Ballesteros, Junior H, Peso Pluma",608084951
16,"Bad Bunny, Julieta Venegas, Tainy",581354380
17,"Calvin Harris, Jessie Reyez, Sam Smith",564928917
18,"Jason Derulo, Nicki Minaj, Ty Dolla $ign",561565071
19,"Bad Bunny, J Balvin, Jhayco",548583436
20,"Anne-Marie, Clean Bandit, Sean Paul",543732279
21,"Bryson Tiller, DJ Khaled, Rihanna",506544287
22,"Kodak Black, Offset, Travis Scott",475296500
23,"Don Toliver, Future, Metro Boomin",472187797
24,"Bad Bunny, Daddy Yankee, Lunay",470193808
25,"Calle 24, Chino Pacas, Fuerza Regida",465122462
26,"Becky Hill, Goodboys, MEDUZA",458741117
27,"JENNIE, Lily-Rose Depp, The Weeknd",458268318
28,"DJ Snake, J Balvin, Tyga",422004415
29,"D-Block Europe, RAYE, cassö",418128815
30,"Gabito Ballesteros, Natanael Cano, Peso Pluma",415862448
31,"Jhayco, Los Legendarios, Wisin",409903892
32,"Calvin Harris, Frank Ocean, Migos",407315701
33,"Bad Bunny, Jowell & Randy, Ñengo Flow",405534381
34,"DJ Nelson, Jay Wheeler, Myke Towers",405092672
35,"6ix9ine, Murda Beatz, Nicki Minaj",403770867
36,"El Guincho, J Balvin, ROSALÍA",401900522
37,"Bad Bunny, Mora, Sech",396326912
38,"Kid Cudi, THE SCOTTS, Travis Scott",380940478
39,"Drake, Future, Tems",378241571
40,"Metro Boomin, Travis Scott, Young Thug",374093091
41,"Chris Brown, Future, Metro Boomin",373006602
42,"Bad Bunny, J Balvin, Nio Garcia",371254425
43,"Brray, Lyanno, Rauw Alejandro",370275554
44,"CADE, Cheat Codes, Maggie Lindemann",354403228
45,"Aqua, Ice Spice, Nicki Minaj",346503881
46,"A7S, ATB, Topic",344772188
47,"Diplo, Ellie Goulding, Swae Lee",342384804
48,"J. Cole, Travis Scott, Young Thug",339551970
49,"Ozuna, Reik, Wisin",337326802
50,"Camila Cabello, Cardi B, Ed Sheeran",334701158
51,"AX'EL, CKay, Dj Yo!",327263732
52,"Manuel Turizo, Myke Towers, Rauw Alejandro",325658348
53,"21 Savage, Drake, Project Pat",324393523
54,"Camilo, Manuel Turizo, Mau y Ricky",323154491
55,"Brendon Urie, Panic! At The Disco, Taylor Swift",318277342
56,"Bruno Mars, Gucci Mane, Kodak Black",317530163
57,"Descemer Bueno, Enrique Iglesias, Zion & Lennox",297281298
58,"Drake, Future, Young Thug",291991351
59,"Anne-Marie, Coi Leray, David Guetta",291541518
60,"Anuel AA, Ozuna, Tainy",291103173
61,"Black Eyed Peas, J. Rey Soul, Ozuna",288568728
62,"THE ANXIETY, Tyler Cole, WILLOW",287702449
63,"Arcángel, Dímelo Flow, Sech",287514447
64,"Kanye West, Ty Dolla $ign, ¥$",284861543
65,"De La Ghetto, Jason Derulo, Sofía Reyes",281918696
66,"Mitchell Ayres & His Orchestra, Perry Como, The Fontane Sisters",273487869
67,"Bebe Rexha, Digital Farm Animals, Louis Tomlinson",271143305
68,"ILLENIUM, Lennon Stella, The Chainsmokers",265682049
69,"Grey, Hailee Steinfeld, Zedd",257372317
70,"Chencho Corleone, J Balvin, Ozuna",256091818
71,"Chris Brown, Rauw Alejandro, Rvssian",254498715
72,"A$AP Rocky, Cardi B, G-Eazy",242827532
73,"Fall Out Boy, Macklemore, Martin Garrix",242141744
74,"Los Legendarios, Myke Towers, Wisin",240791155
75,"Justin Bieber, Major Lazer, MØ",236399000
76,"Drake, SZA, Sexyy Red",235758620
77,"Blessd, Justin Quiles, Lenny Tavárez",234994177
78,"Justin Quiles, Lenny Tavárez, Maluma",234700960
79,"50 Cent, Pop Smoke, Roddy Ricch",232825651
80,"Mae Muller, NEIKED, Polo G",223656711
81,"JACKBOYS, Travis Scott, Young Thug",222157222
82,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",218508098
83,"Alok, Bruno Martini, Zeeba",213352546
84,"Bebe Rexha, David Guetta, J Balvin",211424453
85,"LiL CaKe, Migrantes, Nico Valdi",209048841
86,"21 Savage, Baby Tate, JID",206932483
87,"6LACK, Khalid, Ty Dolla $ign",205369287
88,"Ozzy Osbourne, Post Malone, Travis Scott",205328388
89,"David Guetta, Joel Corry, RAYE",205268468
90,"Amitabh Bhattacharya, Arijit Singh, Pritam",190781626
91,"Brooks, David Guetta, Martin Garrix",190243313
92,"Major Lazer, Nicki Minaj, PARTYNEXTDOOR",188578642
93,"Marc Seguí, Pol Granch, Rauw Alejandro",187222211
94,"Myke Towers, Nicki Nicole, Rochy RD",186980119
95,"Chance the Rapper, Ed Sheeran, PnB Rock",185780568
96,"Feid, Myke Towers, Sky Rompiendo",180518419
97,"Cardi B, Migos, Nicki Minaj",178670224
98,"Alan Walker, Farruko, Sabrina Carpenter",176875061
99,"Drake, Quavo, Travis Scott",175934137
100,"J Balvin, Lalo Ebratt, Reik",169278501
101,"Cheat Codes, David Guetta, Robin Schulz",166233112
102,"David Guetta, Galantis, Little Mix",165964295
103,"Future, Gunna, Young Thug",165854407
104,"Becky G, David Guetta, Sean Paul",162652448
105,"Big One, FMK, Ke Personajes",160854107
106,"Chimbala, Justin Quiles, Zion & Lennox",160492704
107,"Daddy Yankee, Nicky Jam, Romeo Santos",156956150
108,"Bad Gyal, Tokischa, Young Miko",156834450
109,"Camila Cabello, J Balvin, Pitbull",156787721
110,"Jon Z, Tyga, YG",155426375
111,"Norma Jean Martine, Ofenbach, Quarterhead",154558615
112,"Amaarae, Kali Uchis, Moliy",154016663
113,"Beéle, Manuel Turizo, Sebastian Yatra",152530786
114,"Bad Bunny, The Weeknd, Travis Scott",148410249
115,"BTS, FIFA Sound, Jung Kook",147033524
116,"Anuel AA, Lunay, Ozuna",144249595
117,"Arijit Singh, Harrykahanhai, Jasleen Royal",138568228
118,"Ariana Grande, Lana Del Rey, Miley Cyrus",137203073
119,"El Alfa, J Balvin, Major Lazer",135525018
120,"ARIZONATEARS, Lil Uzi Vert, sped up nightcore",134770524
121,"Future, SZA, Travis Scott",134164423
122,"21 Savage, Metro Boomin, Travis Scott",134111418
123,"Beyoncé, J Balvin, Willy William",129880923
124,"Mc Gw, Mc Menor Do Alvorada, S3BZS",127576839
125,"Lary Over, Luis Figueroa, Sebastian Yatra",127370734
126,"Alejo, Feid, ROBI",124015852
127,"Burna Boy, Ed Sheeran, Stormzy",119884192
128,"Kane Brown, Khalid, Swae Lee",115760504
129,"Aaron Smith, Krono, Luvli",109888832
130,"DaBaby, Lil Baby, Quality Control",108097650
131,"Blxst, Ty Dolla $ign, Tyga",105790086
132,"Becky Hill, David Guetta, Ella Henderson",105187399
133,"Jonas Blue, Rita Ora, Tiësto",103252399
134,"Gunna, Travis Scott, Young Thug",102205835
135,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel",98762450
136,"Conor Maynard, Kris Kross Amsterdam, The Boy Next Door",97962201
137,"DJ Snake, Major Lazer, MØ",96997937
138,"Drake, Gunna, Lil Baby",95283224
139,"Gabry Ponte, LUM!X, Prezioso",94457637
140,"DJ ESCOBAR, MC MENOR HR, MC MENOR SG",94313927
141,"Bibi Babydoll, Dj Brunin XM, KZA Produções",94226360
142,"BTS, Snoop Dogg, benny blanco",92221401
143,"A Boogie Wit da Hoodie, Offset, Tyga",92055080
144,"DaBaby, Lil Baby, Moneybagg Yo",91378150
145,"Anitta, J Balvin, Jeon",90885626
146,"Calvin Harris, Dua Lipa, Young Thug",90180284
147,"Dj Nk Da Serra, MC Kevin o Chris, Mc Magrinho",89577118
148,"A$AP Rocky, Metro Boomin, Roisee",89564837
149,"Nacho, Sebastian Yatra, Wisin",86889661
150,"Clever, Justin Bieber, Post Malone",86738931
151,"Gunna, NAV, Travis Scott",86131055
152,"Alan Walker, Au/Ra, Tomine Harket",84503083
153,"C. Tangana, La Húngara, Niño de Elche",83712117
154,"Daddy Yankee, El Alfa, Justin Quiles",82980578
155,"Kygo, Tyga, Zara Larsson",82439120
156,"Amanda Reifer, Blxst, Kendrick Lamar",82000753
157,"Conkarah, DJ Fle, Shaggy",79965800
158,"Junior H, Oscar Maydon, Peso Pluma",79594997
159,"Future, Halsey, Post Malone",77922918
160,"Bebe Rexha, X Ambassadors, mgk",77861030
161,"Peso Pluma, Ryan Castro, SOG",77637200
162,"21 Savage, Drake, Travis Scott",77345636
163,"Rae Sremmurd, Slim Jxmmi, Swae Lee",75695217
164,"Bryant Myers, KEVIN ROLDAN, Lyanno",75420545
165,"Ed Sheeran, Future, Taylor Swift",75187049
166,"Abraham Mateo, Christian Daniel, Farruko",74573848
167,"AP Dhillon, Gurinder Gill, Intense",74112032
168,"24kGoldn, Clean Bandit, Mabel",73389024
169,"Bad Bunny, Farruko, Rvssian",73304864
170,"Anuel AA, J Balvin, KAROL G",73189168
171,"Arijit Singh, Shreyas Puranik, Siddharth - Garima",71978273
172,"KAROL G, Myke Towers, Ozuna",71934239
173,"Anuel AA, DJ Luian, Mambo Kingz",71520083
174,"DJ Khaled, Drake, Lil Baby",70051131
175,"2 Chainz, Chance the Rapper, Lil Wayne",69731437
176,"21 Savage, Future, Metro Boomin",69015097
177,"Fivio Foreign, Lil Tjay, Polo G",68517244
178,"21 Savage, J. Cole, Morray",68404912
179,"Lil Baby, ROSALÍA, Travis Scott",68063722
180,"DJ Léo da 17, Niack, Two Maloka",67382400
