Artist ID,Artists,Streams
1,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",5169090
2,"IAmChino, Pitbull, Yandel, El Chacal",4855038
3,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",9277029
4,"Joel Corry, Jax Jones, Charli XCX, Saweetie",8591860
5,"Jasleen Royal, B Praak, Romy, Anvita Dutt",7045385
6,"Internet Money, Gunna, Don Toliver, NAV",5828495
7,"Major Lazer, Travis Scott, Camila Cabello, Quavo",12215299
8,"Calvin Harris, Future, Khalid, Funk Wav",10221341
9,"Chris Jedi, J Balvin, Ozuna, Arcángel",9476847
10,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",4337366
11,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",3298434
12,"Joel Corry, Jax Jones, Charli XCX, Saweetie",9098393
13,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",8652845
14,"Jasleen Royal, B Praak, Romy, Anvita Dutt",6254534
15,"Internet Money, Gunna, Don Toliver, NAV",5806510
16,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",15479076
17,"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",7159401
18,"Internet Money, Gunna, Don Toliver, NAV",6807059
19,"BANDIDO, Duki, Rei, Tiago PZK",6306995
20,"Mc Davi, Mc Pedrinho, Mc Don Juan, DJ 900",5744691
21,"Internet Money, Gunna, Don Toliver, Lil Uzi Vert",5146943
22,"Major Lazer, Travis Scott, Camila Cabello, Quavo",11546893
23,"Chris Jedi, J Balvin, Ozuna, Arcángel",8982314
24,"Calvin Harris, Future, Khalid, Funk Wav",8658730
25,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",3690884
26,"IAmChino, Pitbull, Yandel, El Chacal",3474156
27,"benny blanco, Selena Gomez, J Balvin, Tainy",14739772
28,"DJ Snake, Selena Gomez, Ozuna, Cardi B",13010600
29,"XXXTENTACION, Lil Pump, Swae Lee, Maluma",5587805
30,"Sia, Diplo, Labrinth, LSD",5419730
31,"Tropkillaz, J Balvin, Anitta, ZAAC",5416641
32,"ChocQuibTown, Zion & Lennox, Farruko, Manuel Turizo",5208827
33,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",14451000
34,"Martin Garrix, David Guetta, Jamie Scott, Romy Dya",9737043
35,"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",7395264
36,"Jay Rock, Kendrick Lamar, Future, James Blake",5528969
37,"Rudimental, Jess Glynne, Macklemore, Dan Caplen",5150409
38,"David Guetta, AFROJACK, Charli XCX, French Montana",4050077
39,"Chris Jedi, J Balvin, Ozuna, Arcángel",3949747
40,"21 Savage, Offset, Metro Boomin, Travis Scott",3801938
41,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",18035989
42,"Young Stoner Life, Young Thug, Gunna, Drake",13132162
43,"Internet Money, Gunna, Don Toliver, NAV",9904699
44,"Young Stoner Life, Young Thug, Gunna, Travis Scott",7515766
45,"J Balvin, Dua Lipa, Bad Bunny, Tainy",6262911
46,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",5230720
47,"Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C",10678029
48,"Imagine Dragons, JID, Arcane, League of Legends",8901586
49,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",6841096
50,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",13219250
51,"Internet Money, Gunna, Don Toliver, NAV",11150856
52,"J Balvin, Dua Lipa, Bad Bunny, Tainy",6983654
53,"Chris Jedi, J Balvin, Ozuna, Arcángel",5803385
54,"Calvin Harris, Young Thug, Pharrell Williams, Ariana Grande",4840593
55,"IAmChino, Pitbull, Yandel, El Chacal",4717360
56,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",4175376
57,"Major Lazer, Travis Scott, Camila Cabello, Quavo",7383655
58,"Chris Jedi, J Balvin, Ozuna, Arcángel",7041209
59,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",4846845
60,"Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas, Kiiara",3827822
61,"Calvin Harris, Future, Khalid, Funk Wav",3353542
62,"Calvin Harris, Future, Khalid, Funk Wav",10641464
63,"Chris Jedi, J Balvin, Ozuna, Arcángel",8466267
64,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",3924205
65,"IAmChino, Pitbull, Yandel, El Chacal",3656447
66,"Calvin Harris, Young Thug, Pharrell Williams, Ariana Grande",5303275
67,"IAmChino, Pitbull, Yandel, El Chacal",4465347
68,"Chris Jedi, J Balvin, Ozuna, Arcángel",4295204
69,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",4073470
70,"Young Thug, 2 Chainz, Wiz Khalifa, PnB Rock",3085640
71,"Major Lazer, Khalid, Death Stranding: Timefall, Diplo",10005477
72,"French Montana, Rvssian, Post Malone, Cardi B",6597128
73,"DJ Snake, Selena Gomez, Ozuna, Cardi B",4912652
74,"Noriel, Myke Towers, Rauw Alejandro, Almighty",4772708
75,"Internet Money, Gunna, Don Toliver, NAV",29922386
76,"J Balvin, Dua Lipa, Bad Bunny, Tainy",13039611
77,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",7590328
78,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",18032506
