Artist,Rank 1-20,Rank 21-40,Rank 41-60,Rank 61-80,Rank 81-100,Rank 101-120,Rank 121-140,Rank 141-160,Rank 161-180,Rank 181-200,Not Appeared
Shawn Mendes,74,60,47,42,55,47,57,57,68,83,85
Camila Cabello,101,96,80,77,83,49,44,46,39,53,68
Ed Sheeran & Justin Bieber,24,11,7,15,4,7,7,3,6,6,285
Justin Bieber,273,160,148,142,96,73,83,90,88,93,22
Ed Sheeran,247,111,115,123,171,222,272,204,186,200,15
Khalid,131,124,172,158,176,140,84,75,73,61,6
Post Malone,256,221,205,182,178,180,130,146,137,134,4
Young Thug,60,42,60,49,53,36,56,70,50,48,77
Billie Eilish,137,112,137,170,170,153,94,122,86,112,69
Lil Nas X,141,62,48,38,30,25,29,28,12,21,183
Billy Ray Cyrus,24,5,7,8,4,4,5,10,1,2,307
Travis Scott,112,120,158,147,152,136,123,129,120,98,45
Bad Bunny,439,425,337,297,265,227,199,181,159,146,29
Tainy,25,70,23,38,33,25,16,13,15,16,174
Cardi B,108,94,72,74,71,57,50,45,34,40,169
Sech,34,64,58,63,67,57,53,39,40,48,200
Darell,29,30,17,20,20,11,15,14,24,11,264
Drake,276,269,254,200,166,152,192,197,197,186,0
Rick Ross,10,8,5,5,5,4,7,8,7,8,312
Lewis Capaldi,51,89,45,47,59,54,43,21,21,19,126
Eminem,36,52,51,51,50,82,89,108,118,140,73
50 Cent,2,6,6,4,4,1,5,3,5,7,332
Chance the Rapper,38,14,17,17,11,10,12,17,19,16,221
PnB Rock,4,4,4,1,1,2,1,1,1,3,353
DJ Snake,40,15,18,18,25,18,10,15,27,27,234
J Balvin,146,200,212,194,230,193,149,138,115,84,55
Tyga,27,17,37,20,24,24,27,22,27,17,236
Swae Lee,92,64,57,59,57,53,31,53,22,42,23
Lunay,11,7,12,8,11,13,15,10,11,14,306
Daddy Yankee,120,50,65,69,90,120,90,90,74,47,120
Snow,22,7,2,4,2,3,3,6,6,4,320
Lizzo,21,30,19,11,8,12,11,16,13,12,276
MEDUZA,6,35,24,20,16,10,13,11,13,15,248
Goodboys,6,25,15,17,10,5,9,10,8,12,293
Lil Tecca,14,7,6,7,13,22,15,15,8,6,305
Taylor Swift,150,148,121,130,125,105,119,90,90,90,109
Katy Perry,26,12,22,12,16,21,14,14,10,15,267
Yebba,0,2,1,0,1,1,0,1,0,2,367
Jhayco,50,56,47,49,31,21,22,26,30,28,174
The Chainsmokers,52,55,55,63,40,52,78,82,105,144,123
Bebe Rexha,45,76,28,40,40,28,52,38,29,30,141
Stormzy,0,8,9,8,9,9,3,5,11,9,310
Martin Garrix,28,38,26,23,23,28,29,13,21,16,234
Macklemore,23,32,17,15,11,12,29,31,32,37,170
Fall Out Boy,4,9,3,2,1,2,2,2,3,1,346
Jonas Brothers,17,12,15,35,26,19,24,20,11,13,272
Y2K,13,9,6,7,7,2,6,4,1,1,319
bbno$,13,9,6,8,15,3,8,4,4,3,302
Ali Gatie,0,21,7,11,12,8,5,6,3,4,313
Marshmello,116,58,54,57,54,64,44,54,50,52,80
Kane Brown,0,6,3,6,5,6,8,7,5,1,328
Ariana Grande,200,118,133,111,88,111,120,98,83,64,34
Maluma,61,79,83,85,90,94,80,60,60,40,101
J. Cole,30,33,38,17,38,56,41,36,34,25,168
Paulo Londra,17,16,28,16,17,17,15,15,16,20,278
Dave,15,10,12,3,3,2,0,0,2,2,327
Kygo,22,54,44,35,24,27,29,35,39,31,178
Whitney Houston,0,11,6,4,1,1,4,10,14,7,317
ROSALÍA,51,44,62,29,28,30,24,16,15,15,179
El Guincho,0,4,22,3,2,5,3,4,1,2,329
Lady Gaga,45,31,42,37,60,32,31,44,28,27,135
Bradley Cooper,32,8,21,18,40,15,11,18,12,9,194
Nicky Jam,34,58,72,54,57,65,50,53,53,47,136
Ozuna,89,173,166,147,164,137,95,99,98,93,82
Disclosure,12,11,8,9,10,7,6,2,3,4,304
Chris Brown,29,36,45,39,33,18,11,17,27,30,143
Avicii,14,34,19,11,12,21,35,65,45,60,204
Aloe Blacc,10,3,5,1,2,0,1,2,2,2,347
Pedro Capó,15,20,18,4,5,6,7,3,8,6,305
Farruko,56,44,53,47,55,69,50,45,56,43,135
Bastille,31,13,10,15,8,19,4,5,8,4,258
YG,1,1,10,1,8,5,9,9,4,3,324
Jon Z,0,1,8,1,2,1,2,3,1,1,355
OneRepublic,24,31,39,31,15,24,27,64,54,29,138
Dalex,4,15,21,34,39,29,24,26,29,25,277
Rafa Pabön,4,10,6,8,7,3,13,13,13,6,314
KHEA,4,10,8,8,2,4,4,7,6,4,319
Feid,89,58,74,63,59,41,43,55,37,33,192
Cazzu,4,10,6,3,1,11,7,6,6,4,317
Lenny Tavárez,4,17,38,41,49,51,32,29,32,32,210
Sam Feldt,0,0,1,10,7,3,1,0,2,3,348
RANI,0,0,1,10,7,3,1,0,2,3,348
DJ Luian,0,20,22,29,22,24,16,14,9,11,256
Mambo Kingz,0,20,22,29,22,24,16,14,9,11,256
Anuel AA,40,85,111,98,97,96,76,80,71,49,114
Brytiago,0,9,9,12,7,5,5,9,9,1,311
Ella Mai,0,0,1,3,3,3,5,2,2,2,354
J Hus,0,0,1,1,1,0,1,0,0,0,371
DaBaby,84,77,83,43,47,46,32,46,31,32,184
R3HAB,0,0,1,6,2,1,3,2,3,1,356
A Touch Of Class,0,0,1,6,2,1,3,1,1,0,360
Chris Stapleton,0,10,5,2,3,2,1,1,0,1,350
Bruno Mars,51,39,41,43,46,55,62,61,79,87,109
Halsey,78,61,49,68,58,38,77,47,83,85,128
Mason Ramsey,0,0,0,1,2,1,0,0,0,0,371
Mabel,9,7,6,13,8,10,6,4,4,2,321
Meek Mill,11,12,4,4,6,2,10,3,7,14,317
A Boogie Wit da Hoodie,3,20,14,13,23,30,40,27,28,21,233
Ava Max,22,32,38,40,24,26,20,30,18,19,188
Ink,0,1,1,3,0,1,0,0,0,0,369
Ashley O,0,0,2,2,0,2,0,0,0,0,369
Sam Smith,91,28,32,41,52,47,54,40,59,59,124
Normani,27,10,15,18,12,18,12,9,12,12,252
Polo G,8,15,11,23,21,33,37,36,23,24,240
