Track,Collaborating Artists,Popularity (Approx. Streams)
Toxic,BoyWithUke,75
IDGAF (with blackbear),"BoyWithUke, blackbear",72
Understand,BoyWithUke,70
Two Moons,BoyWithUke,68
Problematic,BoyWithUke,65
Long Drives,BoyWithUke,65
Migraine,BoyWithUke,64
Prairies (with mxmtoon),"BoyWithUke, mxmtoon",63
She Said No,BoyWithUke,62
Before I Die,BoyWithUke,61
Bad Things,BoyWithUke,60
Psycho,BoyWithUke,60
Rockstar,BoyWithUke,59
Blue,BoyWithUke,58
Nightmare,BoyWithUke,58
Trauma,BoyWithUke,58
Heart of Ice,BoyWithUke,58
Contigo (with Powfu),"BoyWithUke, Powfu",58
Out of Tune,BoyWithUke,58
Shy,BoyWithUke,58
Blurry Nights,BoyWithUke,58
Scared of the Dark,BoyWithUke,57
Hazel Eyes,BoyWithUke,57
Far Away,BoyWithUke,56
I Won’t Let You Go,BoyWithUke,56
Bad Blood,BoyWithUke,55
Babydoll,BoyWithUke,55
King Of Nothing,BoyWithUke,55
"Haha, Hi",BoyWithUke,55
Sleep Deprived,BoyWithUke,55
Homesick,BoyWithUke,54
Let Me Down,BoyWithUke,54
Route 9,BoyWithUke,54
Lovely,BoyWithUke,54
Zoning Out,BoyWithUke,54
Lucid (interlude),BoyWithUke,53
Camouflage,BoyWithUke,53
I Wish,BoyWithUke,53
Kind of Sick of Life,BoyWithUke,52
Bad Luck,BoyWithUke,50
Forget Me,BoyWithUke,50
Bok Choy,BoyWithUke,49
2.9 Miles Away,BoyWithUke,49
Lost,BoyWithUke,48
Galaxy,BoyWithUke,48
Letter for My Bed,BoyWithUke,47
Just Let Me Go,BoyWithUke,47
So Cold,BoyWithUke,47
Nihilist,BoyWithUke,46
