Track,Collaborating Artists,Popularity (Approx. Streams)
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",81
New Rules,Dua Lipa,81
IDGAF,Dua Lipa,79
Kiss and Make Up,"Dua Lipa, BLACKPINK",72
Hotter Than Hell,Dua Lipa,67
Fever,"Dua Lipa, Angèle",66
Blow Your Mind (Mwah),Dua Lipa,65
Be the One,Dua Lipa,64
Homesick,Dua Lipa,61
Love Again,Dua Lipa,58
Last Dance,Dua Lipa,58
Genesis,Dua Lipa,57
No Goodbyes,Dua Lipa,57
Physical,Dua Lipa,56
Begging,Dua Lipa,56
Levitating,Dua Lipa,55
Don't Start Now,Dua Lipa,54
Break My Heart,Dua Lipa,54
Pretty Please,Dua Lipa,53
Hallucinate,Dua Lipa,53
Lost In Your Light (feat. Miguel),"Dua Lipa, Miguel",52
Future Nostalgia,Dua Lipa,50
Cool,Dua Lipa,50
Physical,Dua Lipa,49
Break My Heart / Cosmic Girl (Dimitri From Paris Edit) [Mixed],"Dua Lipa, The Blessed Madonna, Jamiroquai, Dimitri From Paris",49
Good In Bed,Dua Lipa,49
IDGAF,Dua Lipa,49
New Rules,Dua Lipa,49
Thinking 'Bout You,Dua Lipa,49
Begging,Dua Lipa,49
Future Nostalgia,Dua Lipa,48
Don't Start Now,Dua Lipa,48
Cool,Dua Lipa,48
Levitating,Dua Lipa,48
Pretty Please,Dua Lipa,48
Love Again,Dua Lipa,48
Be the One,Dua Lipa,48
Blow Your Mind (Mwah),Dua Lipa,48
Hallucinate,Dua Lipa,47
Break My Heart,Dua Lipa,47
Love Is Religion (The Blessed Madonna Remix) [Mixed],"Dua Lipa, The Blessed Madonna",47
Boys Will Be Boys,Dua Lipa,47
Garden,Dua Lipa,47
Good In Bed,Dua Lipa,46
We're Good,Dua Lipa,46
Want To,Dua Lipa,46
Dreams,Dua Lipa,46
New Love,Dua Lipa,46
Bad Together,Dua Lipa,46
Fever,"Dua Lipa, Angèle",45
Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",45
If It Ain’t Me,Dua Lipa,45
Hotter Than Hell,Dua Lipa,45
Running,Dua Lipa,45
Boys Will Be Boys,Dua Lipa,44
That Kind Of Woman,Dua Lipa,44
Room for 2,Dua Lipa,44
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",43
Un Día (One Day),"J Balvin, Dua Lipa, Bad Bunny, Tainy",43
Physical (feat. Gwen Stefani) [Mark Ronson Remix] [Mixed],"Dua Lipa, The Blessed Madonna, Gwen Stefani, Mark Ronson",43
Lost In Your Light (feat. Miguel),"Dua Lipa, Miguel",43
Not My Problem (feat. JID),"Dua Lipa, JID",42
Boys Will Be Boys (Zach Witness Remix) [Mixed],"Dua Lipa, The Blessed Madonna, Zach Witness",42
Love Again (Horse Meat Disco Remix) [Mixed],"Dua Lipa, The Blessed Madonna, Horse Meat Disco",42
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] [Mixed],"Dua Lipa, The Blessed Madonna, Madonna, Missy Elliott",42
Genesis,Dua Lipa,42
Garden,Dua Lipa,42
No Goodbyes,Dua Lipa,42
Homesick,Dua Lipa,42
Future Nostalgia (Joe Goddard Remix) [Mixed],"Dua Lipa, The Blessed Madonna, Joe Goddard",41
Thinking 'Bout You,Dua Lipa,41
Dreams,Dua Lipa,41
Bad Together,Dua Lipa,41
Last Dance,Dua Lipa,41
Cool (Jayda G Remix) [Mixed],"Dua Lipa, The Blessed Madonna, Jayda G",40
Good In Bed (Zach Witness & Gen Hoshino Remixes) [Mixed],"Dua Lipa, The Blessed Madonna, Gen Hoshino, Zach Witness",39
Pretty Please (Midland Refix) [Mixed],"Dua Lipa, The Blessed Madonna, Midland",39
Room for 2,Dua Lipa,39
New Love,Dua Lipa,39
Pretty Please (Masters at Work Remix) [Mixed],"Dua Lipa, The Blessed Madonna, Masters At Work",38
New Rules - Live,Dua Lipa,38
Hallucinate (Mr Fingers deep stripped mix) [Mixed],"Dua Lipa, The Blessed Madonna, Mr. Fingers",37
Hallucinate (Paul Woolford Remix) [Extended] [Mixed],"Dua Lipa, The Blessed Madonna, Paul Woolford",37
Kiss and Make Up (Remix) [Mixed],"Dua Lipa, The Blessed Madonna, BLACKPINK",37
That Kind Of Woman (Jacques Lu Cont Remix) [Mixed],"Dua Lipa, The Blessed Madonna, Jacques Lu Cont",37
Don't Start Now (Yaeji Remix) [Mixed],"Dua Lipa, The Blessed Madonna, Yaeji",36
Break My Heart (Moodymann Remix) [Mixed],"Dua Lipa, The Blessed Madonna, Dimitri From Paris, Moodymann",36
One Kiss,"Calvin Harris, Dua Lipa",0
Electricity,"Silk City, Dua Lipa",0
Scared to Be Lonely,"Martin Garrix, Dua Lipa",0
No Lie (feat. Dua Lipa),"Sean Paul, Dua Lipa",0
