Track,Collaborating Artists,Popularity (Approx. Streams)
Believer,Imagine Dragons,88
Thunder,Imagine Dragons,86
Demons,Imagine Dragons,86
Bones,Imagine Dragons,84
Whatever It Takes,Imagine Dragons,83
Natural,Imagine Dragons,82
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",81
Bad Liar,Imagine Dragons,81
Radioactive,Imagine Dragons,81
On Top Of The World,Imagine Dragons,79
It's Time,Imagine Dragons,74
Follow You,Imagine Dragons,72
Birds,Imagine Dragons,72
Sharks,Imagine Dragons,71
Waves,Imagine Dragons,71
Wrecked,Imagine Dragons,70
Next To Me,Imagine Dragons,70
"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,69
Walking The Wire,Imagine Dragons,69
Symphony,Imagine Dragons,68
Lonely,Imagine Dragons,66
Rise Up,Imagine Dragons,66
Demons - Live in Vegas,Imagine Dragons,64
Machine,Imagine Dragons,64
West Coast,Imagine Dragons,64
My Life,Imagine Dragons,63
Monster,Imagine Dragons,63
I Don’t Know Why,Imagine Dragons,61
Bleeding Out,Imagine Dragons,61
No Time For Toxic People,Imagine Dragons,60
One Day,Imagine Dragons,60
Thunder - Live in Vegas,Imagine Dragons,58
#1,Imagine Dragons,58
It's Ok,Imagine Dragons,58
I Don't Like Myself,Imagine Dragons,58
Monday,Imagine Dragons,57
Easy Come Easy Go,Imagine Dragons,57
Higher Ground,Imagine Dragons,57
Boomerang,Imagine Dragons,57
Mouth Of The River,Imagine Dragons,57
Demons,Imagine Dragons,57
Giants,Imagine Dragons,56
Dull Knives,Imagine Dragons,56
Cutthroat,Imagine Dragons,56
Sirens,Imagine Dragons,56
I’ll Make It Up To You,Imagine Dragons,56
Shots,Imagine Dragons,56
Battle Cry,Imagine Dragons,56
Cool Out,Imagine Dragons,55
Only,Imagine Dragons,55
Love,Imagine Dragons,55
Yesterday,Imagine Dragons,55
Start Over,Imagine Dragons,55
Radioactive,Imagine Dragons,55
On Top Of The World,Imagine Dragons,55
Blur,Imagine Dragons,54
Bullet In A Gun,Imagine Dragons,54
Amsterdam,Imagine Dragons,54
My Life - Live in Vegas,Imagine Dragons,53
Believer - Live in Vegas,Imagine Dragons,53
Demons - Live London Sessions / 2013,Imagine Dragons,53
Crushed,Imagine Dragons,53
Real Life,Imagine Dragons,53
Dancing In The Dark,Imagine Dragons,53
Warriors,Imagine Dragons,53
Tiptoe,Imagine Dragons,53
I'm Happy,Imagine Dragons,52
Younger,Imagine Dragons,52
Stuck,Imagine Dragons,52
Burn Out,Imagine Dragons,52
Who We Are,Imagine Dragons,52
It's Time - Live in Vegas,Imagine Dragons,51
Ferris Wheel,Imagine Dragons,51
Peace Of Mind,Imagine Dragons,51
Digital,Imagine Dragons,51
I’m So Sorry,Imagine Dragons,51
Hear Me,Imagine Dragons,51
I'm So Sorry - Live in Vegas,Imagine Dragons,50
Bones - Live in Vegas,Imagine Dragons,50
Take It Easy,Imagine Dragons,50
Tied,Imagine Dragons,50
I Wish,Imagine Dragons,50
They Don't Know You Like I Do,Imagine Dragons,50
It's Time,Imagine Dragons,50
"Las Vegas, Our Home - Live in Vegas",Imagine Dragons,49
Birds - Live in Vegas,Imagine Dragons,49
Follow You - Live in Vegas,Imagine Dragons,49
Next to Me (Acoustic) - Live in Vegas,Imagine Dragons,49
I Bet My Life,Imagine Dragons,49
Lonely - Live in Vegas,Imagine Dragons,48
Natural - Live in Vegas,Imagine Dragons,48
Whatever It Takes - Live in Vegas,Imagine Dragons,48
Continual (feat. Cory Henry),"Imagine Dragons, Cory Henry",48
Gold,Imagine Dragons,48
Dream,Imagine Dragons,48
I Bet My Life (Acoustic) - Live in Vegas,Imagine Dragons,47
One Day (Acoustic) - Live in Vegas,Imagine Dragons,47
Radioactive - Live London Sessions / 2013,Imagine Dragons,47
Polaroid,Imagine Dragons,47
Friction,Imagine Dragons,47
Nothing Left To Say / Rocks - Medley,Imagine Dragons,47
Younger - Live in Vegas,Imagine Dragons,46
Sharks - Live in Vegas,Imagine Dragons,46
Enemy - Live in Vegas,Imagine Dragons,46
On Top of the World - Live in Vegas,Imagine Dragons,46
Radioactive - Live in Vegas,Imagine Dragons,46
Walking the Wire / My Life - Live in Vegas,Imagine Dragons,46
Radioactive,Imagine Dragons,45
Smoke And Mirrors,Imagine Dragons,45
Round And Round,Imagine Dragons,45
Every Night,Imagine Dragons,45
Working Man,Imagine Dragons,45
I'm Happy - Live in Vegas,Imagine Dragons,44
Demons,Imagine Dragons,44
Bubble - Night Visions Demo,Imagine Dragons,44
Cha-Ching (Till We Grow Older),Imagine Dragons,44
It's Time,Imagine Dragons,43
Fallen,Imagine Dragons,43
Thief,Imagine Dragons,43
Bleeding Out,Imagine Dragons,43
My Fault,Imagine Dragons,43
Selene,Imagine Dragons,43
Underdog,Imagine Dragons,43
Tokyo,Imagine Dragons,43
On Top Of The World,Imagine Dragons,42
Love Of Mine - Night Visions Demo,Imagine Dragons,42
It Comes Back To You,Imagine Dragons,42
Trouble,Imagine Dragons,42
Hopeless Opus,Imagine Dragons,41
Shots - Broiler Remix,"Imagine Dragons, Broiler",41
Amsterdam,Imagine Dragons,41
Tiptoe,Imagine Dragons,40
Amsterdam,Imagine Dragons,40
Bleeding Out,Imagine Dragons,40
Working Man,Imagine Dragons,40
Summer,Imagine Dragons,40
The Fall,Imagine Dragons,40
Tiptoe,Imagine Dragons,40
Hear Me,Imagine Dragons,40
The River,Imagine Dragons,40
America,Imagine Dragons,40
Hear Me,Imagine Dragons,39
Tokyo,Imagine Dragons,39
Demons - TELYKast Remix,"Imagine Dragons, TELYKAST",39
Second Chances,Imagine Dragons,39
Release,Imagine Dragons,39
Nothing Left To Say / Rocks - Medley,Imagine Dragons,38
The Unknown,Imagine Dragons,38
Nothing Left To Say / Rocks - Medley,Imagine Dragons,38
Cover Up,Imagine Dragons,38
I Don't Mind,Imagine Dragons,38
Every Night,Imagine Dragons,37
Underdog,Imagine Dragons,37
Cha-Ching (Till We Grow Older),Imagine Dragons,37
Round And Round,Imagine Dragons,37
On Top Of The World - RAC Remix,"Imagine Dragons, RAC",37
My Fault,Imagine Dragons,36
The River,Imagine Dragons,36
Selene,Imagine Dragons,36
Cover Up,Imagine Dragons,36
I Don't Mind,Imagine Dragons,36
Every Night,Imagine Dragons,36
Cha-Ching (Till We Grow Older),Imagine Dragons,36
Working Man,Imagine Dragons,36
America,Imagine Dragons,35
Radioactive - Live From Red Rocks / 2014,Imagine Dragons,35
It's Time - Live London Sessions / 2013,Imagine Dragons,35
Underdog,Imagine Dragons,35
Demons - Live From Red Rocks / 2014,Imagine Dragons,33
Demons - Imagine Dragons Remix,Imagine Dragons,33
Hear Me - Live From Red Rocks / 2014,Imagine Dragons,32
On Top Of The World - Live From Red Rocks / 2014,Imagine Dragons,32
Round And Round - Live From Red Rocks / 2014,Imagine Dragons,31
Amsterdam - Live From Red Rocks / 2014,Imagine Dragons,31
Tiptoe - Live From Red Rocks / 2014,Imagine Dragons,31
Rocks - Live From Red Rocks / 2014,Imagine Dragons,31
Cha-Ching (Till We Grow Older) - Live From Red Rocks / 2014,Imagine Dragons,30
It's Time - Live From Red Rocks / 2014,Imagine Dragons,30
Radioactive - Grouplove & Captain Cuts Remix,"Imagine Dragons, GROUPLOVE, Captain Cuts",30
Shots - Live,Imagine Dragons,30
Underdog - Live From Red Rocks / 2014,Imagine Dragons,29
It's Time - Passion Pit Remix,Imagine Dragons,29
Radioactive - The Dirty Tees Mix,Imagine Dragons,29
Demons - KIDinaKORNER Remix,"Imagine Dragons, Alex Da Kid, Jayson DeZuzio, Hygrade",29
Forever Young / Smoke And Mirrors - Live,Imagine Dragons,29
Hear Me - Spector Remix,Imagine Dragons,28
It's Time - Cherry Cherry Boom Boom Remix,Imagine Dragons,28
Demons - Politik Remix,"Imagine Dragons, DJ Politik",28
It's Time - Kat Krazy Remix,Imagine Dragons,28
Thief - Live,Imagine Dragons,28
Demons / Bleeding Out / Warriors - Live,Imagine Dragons,28
It's Time - Penguin Prison Remix,Imagine Dragons,27
It's Time - Live,Imagine Dragons,27
Polaroid - Live,Imagine Dragons,27
I'm So Sorry - Live,Imagine Dragons,27
Radioactive - Live,Imagine Dragons,27
Intro - Live,Imagine Dragons,26
Trouble - Live,Imagine Dragons,26
Gold - Live,Imagine Dragons,26
I Bet My Life - Live,Imagine Dragons,26
Amsterdam - Live,Imagine Dragons,25
Hopeless Opus - Live,Imagine Dragons,25
Friction - Live,Imagine Dragons,25
The Fall - Live,Imagine Dragons,25
On Top Of The World - Live,Imagine Dragons,24
Release - Live,Imagine Dragons,23
