Track,Collaborating Artists,Popularity (Approx. Streams)
All Girls Are The Same,Juice WRLD,84
Lucid Dreams,Juice WRLD,84
Robbery,Juice WRLD,80
Lean Wit Me,Juice WRLD,79
Wishing Well,Juice WRLD,78
Come & Go (with Marshmello),"Juice WRLD, Marshmello",77
Armed And Dangerous,Juice WRLD,77
Conversations,Juice WRLD,75
Wasted (feat. Lil Uzi Vert),"Juice WRLD, Lil Uzi Vert",75
Empty,Juice WRLD,74
Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again",74
Hurt Me,Juice WRLD,74
Black & White,Juice WRLD,73
Righteous,Juice WRLD,72
Stay High,Juice WRLD,72
Cigarettes,Juice WRLD,71
Hate The Other Side (with Marshmello & The Kid Laroi),"Juice WRLD, Marshmello, The Kid LAROI, Polo G",71
Flaws And Sins,Juice WRLD,71
Burn,Juice WRLD,70
Used To,Juice WRLD,70
Fine China,"Future, Juice WRLD",70
Already Dead,Juice WRLD,69
Smile (with The Weeknd),"Juice WRLD, The Weeknd",69
Maze,Juice WRLD,69
Fast,Juice WRLD,69
Sometimes,Juice WRLD,68
Legends,Juice WRLD,68
Blood On My Jeans,Juice WRLD,68
Life's A Mess (feat. Halsey),"Juice WRLD, Halsey",68
Make Believe,Juice WRLD,68
Candles,Juice WRLD,68
Feline (with Polo G & Trippie Redd),"Juice WRLD, Polo G, Trippie Redd",67
Man Of The Year,Juice WRLD,67
Hear Me Calling,Juice WRLD,67
Feeling,Juice WRLD,67
I'll Be Fine,Juice WRLD,67
I'm Still,Juice WRLD,67
Girl Of My Dreams (with SUGA of BTS),"Juice WRLD, SUGA, BTS",66
Up Up And Away,Juice WRLD,66
Scared Of Love (with instrumental by Ghost Loft),Juice WRLD,66
End Of The Road,Juice WRLD,66
Bad Energy,Juice WRLD,65
Who Shot Cupid?,Juice WRLD,65
From My Window,Juice WRLD,64
Titanic,Juice WRLD,64
Tell Me U Luv Me (with Trippie Redd),"Juice WRLD, Trippie Redd",64
Fighting Demons,Juice WRLD,64
Can't Die,Juice WRLD,64
Demonz (feat. Brent Faiyaz) - Interlude,"Juice WRLD, Brent Faiyaz",64
Ring Ring (with Rvssian feat. Clever),"Juice WRLD, Rvssian, Clever",64
Glo’d Up,Juice WRLD,63
I Want It,Juice WRLD,63
Long Gone,Juice WRLD,63
Realer N Realer,"Future, Juice WRLD",63
Wandered To LA (with Justin Bieber),"Juice WRLD, Justin Bieber",62
Rockstar In His Prime,Juice WRLD,62
Not Enough,Juice WRLD,62
Lucid Dreams (feat. Lil Uzi Vert) - Remix,"Juice WRLD, Lil Uzi Vert",62
Screw Juice,Juice WRLD,62
HeMotions,Juice WRLD,62
No Good,Juice WRLD,61
You Wouldn't Understand,Juice WRLD,61
Doom,Juice WRLD,61
Rich And Blind,Juice WRLD,61
734,Juice WRLD,61
Syphilis,Juice WRLD,61
The Bees Knees,Juice WRLD,61
Rider,Juice WRLD,61
Hard Work Pays Off,"Future, Juice WRLD",61
Desire,Juice WRLD,60
10 Feet,Juice WRLD,60
Go Hard 2.0,Juice WRLD,59
Out My Way,Juice WRLD,59
ON GOD (feat. Young Thug),"Juice WRLD, Young Thug",59
Won’t Let Go,Juice WRLD,59
Relocate,Juice WRLD,58
Feel Alone,Juice WRLD,58
Big,Juice WRLD,58
She’s The One,Juice WRLD,58
Until The Plug Comes Back Around,Juice WRLD,57
Go Hard,Juice WRLD,57
Jet Lag (feat. Young Scooter),"Future, Juice WRLD, Young Scooter",57
Make It Back,Juice WRLD,57
Shorty,"Future, Juice WRLD",57
My Life In A Nutshell,Juice WRLD,56
Astronauts,"Future, Juice WRLD",56
7 Am Freestyle,"Future, Juice WRLD",56
Anxiety - Intro,Juice WRLD,54
No Issue,"Future, Juice WRLD",54
WRLD On Drugs,"Future, Juice WRLD",54
Ain't Livin Right (feat. Gunna),"Future, Juice WRLD, Gunna",54
Juice WRLD Speaks From Heaven - Outro,Juice WRLD,53
Intro,Juice WRLD,53
All Girls Are The Same,Juice WRLD,51
Juice WRLD Speaks 2,Juice WRLD,51
Betrayal - Skit,Juice WRLD,51
Karma - Skit,Juice WRLD,51
Different (feat. Yung Bans),"Future, Juice WRLD, Yung Bans",51
Lucid Dreams,Juice WRLD,50
Lean Wit Me,Juice WRLD,50
Wasted (feat. Lil Uzi Vert),"Juice WRLD, Lil Uzi Vert",50
734,Juice WRLD,50
"The Man, The Myth, The Legend - Interlude",Juice WRLD,50
Red Bentley (feat. Young Thug),"Future, Juice WRLD, Young Thug",50
Afterlife,Future,50
I'm Still,Juice WRLD,49
All Girls Are The Same,Juice WRLD,49
Intro,Juice WRLD,48
Candles,Juice WRLD,48
Used To,Juice WRLD,48
Hurt Me,Juice WRLD,48
Eminem Speaks,Juice WRLD,48
Juice WRLD Speaks,Juice WRLD,48
Oxy (feat. Lil Wayne),"Future, Lil Wayne",48
Transformer (feat. Nicki Minaj),"Future, Nicki Minaj",48
Scared Of Love (with instrumental by Ghost Loft),Juice WRLD,47
Black & White,Juice WRLD,47
End Of The Road,Juice WRLD,47
I'll Be Fine,Juice WRLD,47
Lucid Dreams (feat. Lil Uzi Vert) - Remix,"Juice WRLD, Lil Uzi Vert",47
Long Gone,Juice WRLD,46
Lean Wit Me,Juice WRLD,46
Wasted (feat. Lil Uzi Vert),"Juice WRLD, Lil Uzi Vert",46
Betrayal - Skit,Juice WRLD,44
Lucid Dreams,Juice WRLD,44
Candles,Juice WRLD,44
