Track,Collaborating Artists,Popularity (Approx. Streams)
Choo Lo,The Local Train,74
Aaoge Tum Kabhi,The Local Train,63
Dil Mere,The Local Train,63
Aaftaab,The Local Train,58
Khudi,The Local Train,54
Kaisey Jiyun,The Local Train,50
Dilnawaz,The Local Train,48
Mizaaj,The Local Train,46
Bandey,The Local Train,46
Yeh Zindagi Hai,The Local Train,46
Aakhri Salaam,The Local Train,45
Mere Yaar,The Local Train,43
Kaisey Jiyun - Acoustic,The Local Train,41
Manzil,The Local Train,38
Gustaakh,The Local Train,35
Vaaqif,The Local Train,35
Yeh Zindagi Hai - Demo,The Local Train,35
