Category,Artist
Good Solo Good Collab,Dua Lipa
Good Solo Good Collab,The Weeknd
Good Solo Good Collab,Post Malone
Good Solo Good Collab,Ed Sheeran
Good Solo Good Collab,Halsey
Good Solo Good Collab,Khalid
Good Solo Good Collab,Juice WRLD
Good Solo Good Collab,Ariana Grande
Good Solo Good Collab,Lil Nas X
Good Solo Good Collab,Kendrick Lamar
Good Solo Good Collab,Travis Scott
Good Solo Good Collab,KAROL G
Good Solo Good Collab,Maluma
Good Solo Good Collab,Drake
Good Solo Good Collab,Doja Cat
Good Solo Good Collab,Bad Bunny
Good Solo Good Collab,Billie Eilish
Good Solo Good Collab,Justin Bieber
Bad Solo Good Collab,Camila Cabello
Bad Solo Good Collab,21 Savage
Bad Solo Good Collab,J Balvin
Bad Solo Good Collab,Cardi B
Bad Solo Good Collab,Sam Smith
Bad Solo Good Collab,Peso Pluma
Bad Solo Good Collab,Roddy Ricch
Bad Solo Good Collab,Ozuna
Bad Solo Good Collab,Rauw Alejandro
Bad Solo Good Collab,Feid
Good Solo Bad Collab,BTS
Good Solo Bad Collab,Imagine Dragons
Good Solo Bad Collab,XXXTENTACION
Good Solo Bad Collab,Eminem
Good Solo Bad Collab,Taylor Swift
Bad Both,Michael Bublé
Bad Both,J. Cole
Bad Both,Sia
Bad Both,Calvin Harris
Bad Both,Gunna
Bad Both,Kodak Black
Bad Both,João Gomes
Bad Both,Trevor Daniel
Bad Both,Kanye West
Bad Both,Myke Towers
Bad Both,Giveon
Bad Both,Avicii
Bad Both,Offset
Bad Both,Nacho
Bad Both,Trueno
Bad Both,Bruno Mars
Bad Both,Manuel Turizo
Bad Both,SZA
Bad Both,NLE Choppa
Bad Both,Lauv
Bad Both,Labrinth
Bad Both,Carin Leon
Bad Both,Saweetie
Bad Both,Big Sean
Bad Both,Rae Sremmurd
Bad Both,Zion & Lennox
Bad Both,Mora
Bad Both,Jimin
Bad Both,Wolfine
Bad Both,Joji
Bad Both,Tom Grennan
Bad Both,Rich The Kid
Bad Both,Lady Gaga
Bad Both,Anne-Marie
Bad Both,Camilo
Bad Both,Elley Duhé
Bad Both,Cris Mj
Bad Both,MØ
Bad Both,Loredana
Bad Both,Chencho Corleone
Bad Both,Ice Spice
Bad Both,Lana Del Rey
Bad Both,Famous Dex
Bad Both,Sebastian Yatra
Bad Both,Lil Peep
Bad Both,Rihanna
Bad Both,Ana Castela
Bad Both,Chance the Rapper
Bad Both,Lil Wayne
Bad Both,JVKE
Bad Both,Liam Payne
Bad Both,Piso 21
Bad Both,Zara Larsson
